Locus	Duplication_Name	Duplicated_Individuals	Sister_Group
nadpme	Y23	Calandrinia_creethae_39,Calandrinia_porifera_36	Calandrinia_pentavalvis_178,Calandrinia_ptychosperma_5,Calandrinia_porifera_36,Calandrinia_ptychosperma_166,Calandrinia_stagnensis_101,Calandrinia_papillata_30,Calandrinia_arenicola_90
nadpme	Y24	Calandrinia_crispisepala_21,Calandrinia_primuliflora_110,Calandrinia_translucens_4,Calandrinia_kalanniensis_8,Calandrinia_primuliflora_160,Calandrinia_lehmannii_35,Calandrinia_translucens_99	Calandrinia_eremaea_ss_33,Calandrinia_eremea_nonpapillate_139,Calandrinia_operata_32,Calandrinia_balonensis_57,Calandrinia_umbelliformis_20,Calandrinia_flava_79,Calandrinia_hortiorum_191,Calandrinia_sculpta_11,Calandrinia_calyptrata_185,Calandrinia_remota_ss_63,Calandrinia_butcherensis_58,Calandrinia_vernicosa_23,Calandrinia_tholliformis_29,Calandrinia_eremaea_perennial_7,Calandrinia_reticulata_53,Calandrinia_reticulata_149
nadpme	Y120	Calandrinia_pentavalvis_178,Calandrinia_ptychosperma_5,Calandrinia_porifera_36,Calandrinia_papillata_30,Calandrinia_arenicola_90,Calandrinia_ptychosperma_166	Calandrinia_mirabilis_85
nadpme	Y121	Calandrinia_ptychosperma_5,Calandrinia_ptychosperma_166	Calandrinia_papillata_30
nadpme	Y104	Calandrinia_mirabilis_85,Calandrinia_creethae_39,Calandrinia_porifera_36,Calandrinia_stagnensis_101	Calandrinia_strophiolata_155,Calandrinia_tumida_93,Calandrinia_spergularina_104,Calandrinia_gracilis_176,Calandrinia_sp_Oblong_103,Calandrinia_sp_Prince_Regent_156,Calandrinia_quadrivalvis_121
nadpme	Y87	Claytonia_washingtoniana_26,Claytonia_lanceolata_106,Claytonia_megarhiza_195	Montia_parviflora_27
nadpme	Y59	Calandrinia_strophiolata_155,Calandrinia_sp_Needilup_31B,Montia_parviflora_27,Claytonia_lanceolata_106,Calandrinia_affious_145,Lewisia_brachycalyx_16,Claytonia_washingtoniana_26,Calandrinia_disperma_22,Calandrinia_schistorhiza_31,Calandrinia_butcherensis_58,Phemeranthus_brevifolius_169,Calandrinia_disperma_194,Calandrinia_compressa_144,Calandrinia_linliflora_109,Calandrinia_baccata_46,Calandrinia_brevipedata_9,Calandrinia_sp_Meckering_31,Claytonia_megarhiza_195,Calandrinia_mirabilis_85,Calandrinia_crispisepala_21,Calandrinia_vernicosa_23,Phemeranthus_longipes_6,Calandrinia_umbelliformis_20,Calandrinia_sp_Kenwick_48,Calandrinia_tholliformis_29,Calandrinia_sp_Goongarrie_37,Calandrinia_sp_Black_Angular_Seeds_24,Calandrinia_sp_Oblong_103,Opuntia_subulata_208,Calandrinia_corrigioloides_98,Calandrinia_quadrivalvis_121,Lewisia_pygmaea_8,Anacampseros_coahuilensis_68,Calandrinia_ciliata_2014,Calyptridium_parryi_170,Calandrinia_pleiopetala_74,Cistanthe_paniculaeta_223,Calandrinia_quadrivalvis_26,Calandrinia_sp_220,Calandrinia_eremea_salt_flat_130,Montiopsis_umbellata_225,Calandrinia_painwaning_6,Calandrinia_eremaea_perennial_7,Calandrinia_eremea_nonpapillate_139,Calandrinia_tumida_93,Calandrinia_polypetala_152,Calandrinia_gracilis_176,Calandrinia_pumila_60,Calandrinia_porifera_36,Alluaudia_procera_53,Calandrinia_operata_32,Calandrinia_eremaea_ss_33,Calandrinia_sp_Warrider_129,Rumicastrum_chamaecladum_123,Calandrinia_corrigioloides_49C,Portulaca_cryptopetala_49,Halophytum_ameghinoi_76,Anredera_baselloides_38,Calandrinia_sp_Prince_Regent_156,Calandrinia_sp_Bungalbin_157,Calandrinia_hortiorum_191,Calandrinia_sp_Truncate_Capsules_118,Calandrinia_pumila_75,Calandrinia_translucens_4,Calandrinia_flava_79,Calandrinia_granulifera_50D,Calandrinia_ciliata_215,Calandrinia_ciliata_216,Calandrinia_monandra_143,Calandrinia_polyandra_138,Lewisiopsis_tweedyi_4,Calandrinia_balonensis_57,Calandrinia_polyandra_34C,Phemeranthus_brevicaulis_202,Calandrinia_oraria_37,Talinum_triangulare_50,Calandrinia_calyptrata_188,Calandrinia_uniflora_92,Calandrinia_sculpta_11,Calandrinia_calyptrata_185,Montiopsis_gayana_224,Calandrinia_skottsbergi_222,Calandrinia_colchagensis_146,Calandrinia_reticulata_53,Calyptridium_umbellatum_193,Calandrinia_sp_Pink_Hills_27,Cistanthe_sp_219,Calyptridium_monospermum_108,Calandrinia_reticulata_149,Calandrinia_pickeringii_165,Calandrinia_spergularina_104,Calandrinia_remota_ss_63,Lewisia_congdonii_17,Calandrinia_stagnensis_101,Calandrinia_rubrisabulosa_34,Calandrinia_creethae_39,Cistanthe_grandiflora_199,Calandrinia_translucens_99	Mollugo_pentafilis_148,Mollugo_verticillata_56
nadpme	Y57	Calandrinia_strophiolata_155,Calandrinia_sp_Needilup_31B,Montia_parviflora_27,Claytonia_lanceolata_106,Calandrinia_affious_145,Lewisia_brachycalyx_16,Claytonia_washingtoniana_26,Calandrinia_disperma_22,Calandrinia_schistorhiza_31,Calandrinia_butcherensis_58,Phemeranthus_brevifolius_169,Calandrinia_disperma_194,Calandrinia_compressa_144,Calandrinia_linliflora_109,Calandrinia_baccata_46,Calandrinia_brevipedata_9,Calandrinia_sp_Meckering_31,Claytonia_megarhiza_195,Calandrinia_mirabilis_85,Calandrinia_crispisepala_21,Calandrinia_vernicosa_23,Phemeranthus_longipes_6,Calandrinia_umbelliformis_20,Calandrinia_sp_Kenwick_48,Calandrinia_tholliformis_29,Calandrinia_sp_Goongarrie_37,Calandrinia_sp_Black_Angular_Seeds_24,Mollugo_verticillata_56,Calandrinia_sp_Oblong_103,Opuntia_subulata_208,Calandrinia_corrigioloides_98,Calandrinia_quadrivalvis_121,Lewisia_pygmaea_8,Anacampseros_coahuilensis_68,Calandrinia_ciliata_2014,Calandrinia_ptychosperma_166,Calyptridium_parryi_170,Calandrinia_pleiopetala_74,Cistanthe_paniculaeta_223,Calandrinia_quadrivalvis_26,Calandrinia_sp_220,Mollugo_pentafilis_148,Calandrinia_eremea_salt_flat_130,Montiopsis_umbellata_225,Calandrinia_painwaning_6,Calandrinia_eremaea_perennial_7,Calandrinia_eremea_nonpapillate_139,Calandrinia_tumida_93,Calandrinia_polypetala_152,Calandrinia_gracilis_176,Calandrinia_pumila_60,Calandrinia_porifera_36,Alluaudia_procera_53,Calandrinia_operata_32,Calandrinia_eremaea_ss_33,Calandrinia_sp_Warrider_129,Rumicastrum_chamaecladum_123,Calandrinia_corrigioloides_49C,Portulaca_cryptopetala_49,Halophytum_ameghinoi_76,Anredera_baselloides_38,Calandrinia_sp_Prince_Regent_156,Calandrinia_sp_Bungalbin_157,Calandrinia_hortiorum_191,Calandrinia_sp_Truncate_Capsules_118,Calandrinia_pumila_75,Calandrinia_translucens_4,Calandrinia_flava_79,Calandrinia_granulifera_50D,Calandrinia_ciliata_215,Calandrinia_ciliata_216,Calandrinia_monandra_143,Calandrinia_polyandra_138,Lewisiopsis_tweedyi_4,Calandrinia_balonensis_57,Calandrinia_polyandra_34C,Phemeranthus_brevicaulis_202,Calandrinia_oraria_37,Talinum_triangulare_50,Calandrinia_calyptrata_188,Calandrinia_uniflora_92,Calandrinia_sculpta_11,Calandrinia_calyptrata_185,Montiopsis_gayana_224,Calandrinia_skottsbergi_222,Calandrinia_colchagensis_146,Calandrinia_reticulata_53,Calyptridium_umbellatum_193,Calandrinia_sp_Pink_Hills_27,Cistanthe_sp_219,Calyptridium_monospermum_108,Calandrinia_reticulata_149,Calandrinia_pickeringii_165,Calandrinia_spergularina_104,Calandrinia_remota_ss_63,Lewisia_congdonii_17,Calandrinia_stagnensis_101,Calandrinia_rubrisabulosa_34,Calandrinia_creethae_39,Cistanthe_grandiflora_199,Calandrinia_translucens_99	Trianthema_portulacastrum_tr,Mesembryanthemum_crystallinum_tr,Boerhavia_coccinea_tr
nadpme	Y14	Calandrinia_corrigioloides_49C,Calandrinia_sp_Truncate_Capsules_118,Calandrinia_brevipedata_9,Calandrinia_disperma_194,Calandrinia_corrigioloides_98,Calandrinia_disperma_22	Rumicastrum_chamaecladum_123
nadpme	Y36	Calyptridium_monospermum_108,Calyptridium_umbellatum_193	Cistanthe_sp_219,Montiopsis_gayana_224,Cistanthe_paniculaeta_223,Montiopsis_umbellata_225,Cistanthe_grandiflora_199
